Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000            5.431       -0.614        6.044   433.0
0.0050            5.432       -0.452        5.884   421.5
0.0100            5.436        0.012        5.424   388.5
0.0150            5.441        0.718        4.724   338.4
0.0200            5.449        1.572        3.877   277.7
0.0250            5.456        2.458        2.998   214.8
0.0300            5.463        3.252        2.211   158.4
0.0350            5.467        3.848        1.619   116.0
0.0400            5.468        4.181        1.286    92.1
0.0450            5.465        4.240        1.225    87.7
0.0500            5.460        4.067        1.393    99.8
0.0550            5.455        3.739        1.715   122.9
0.0600            5.450        3.346        2.104   150.7
0.0650            5.446        2.967        2.480   177.6
0.0700            5.445        2.656        2.789   199.8
0.0750            5.445        2.441        3.004   215.2
0.0800            5.446        2.321        3.125   223.8
0.0850            5.448        2.278        3.170   227.1
0.0900            5.450        2.282        3.169   227.0
0.0950            5.452        2.301        3.150   225.7
0.1000            5.453        2.312        3.141   225.0
0.1050            5.453        2.298        3.155   226.0
0.1100            5.452        2.254        3.198   229.1
0.1150            5.451        2.188        3.264   233.8
0.1200            5.450        2.113        3.337   239.1
0.1250            5.449        2.048        3.401   243.6
0.1300            5.448        2.013        3.436   246.1
0.1350            5.448        2.019        3.428   245.6
0.1400            5.448        2.073        3.375   241.8
0.1450            5.449        2.168        3.281   235.0
0.1500            5.451        2.288        3.162   226.5
0.1550            5.452        2.410        3.042   217.9
0.1600            5.453        2.511        2.942   210.8
0.1650            5.454        2.572        2.882   206.4
0.1700            5.454        2.585        2.869   205.5
0.1750            5.453        2.550        2.903   208.0
0.1800            5.452        2.476        2.977   213.2
0.1850            5.451        2.377        3.075   220.3
0.1900            5.451        2.268        3.182   227.9
0.1950            5.450        2.167        3.283   235.2
0.2000            5.449        2.084        3.365   241.0
0.2050            5.449        2.029        3.420   245.0
0.2100            5.449        2.006        3.444   246.7
0.2150            5.449        2.014        3.436   246.1
0.2200            5.450        2.052        3.398   243.4
0.2250            5.450        2.116        3.334   238.8
0.2300            5.450        2.201        3.249   232.8
0.2350            5.451        2.298        3.153   225.9
0.2400            5.452        2.395        3.056   218.9
